 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"351410 DOIS CORREGOS";10;5;8;8;11;9;14;6;18;5;9;13;116
"351420 DOLCINOPOLIS";-;-;-;1;-;-;-;-;1;-;-;-;2
"351430 DOURADO";2;1;-;1;1;-;2;1;1;1;1;1;12
"351440 DRACENA";19;24;29;27;36;31;50;28;36;40;31;29;380
"351450 DUARTINA";8;4;8;7;6;5;7;7;9;4;5;12;82
"351460 DUMONT";2;-;-;1;1;2;2;-;2;1;-;-;11
"351470 ECHAPORA";2;2;1;-;2;-;1;-;-;1;-;4;13
"351480 ELDORADO";2;3;1;-;4;2;2;-;2;3;1;1;21
"351490 ELIAS FAUSTO";1;1;2;3;3;3;1;1;3;4;3;3;28
"351492 ELISIARIO";-;2;-;-;2;1;-;-;-;-;-;-;5
"351495 EMBAUBA";-;-;-;-;-;1;1;-;-;-;-;2;4
"351500 EMBU DAS ARTES";59;37;25;38;53;45;59;49;46;37;61;51;560
"351510 EMBU-GUACU";14;13;11;13;20;15;19;15;20;15;11;13;179
"351512 EMILIANOPOLIS";-;-;-;-;-;-;-;1;-;-;-;-;1
"351515 ENGENHEIRO COELHO";3;2;2;-;1;2;-;-;-;3;2;1;16
